time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"","","",
1,1,"2","","P1:1/2d5|P2:0/4d7",
2,0,"2","1","P1:2/2d5|P2:0/4d7",
3,2,"","1","P1:2/2d5|P2:1/4d7",
4,2,"","1","P1:2/2d5|P2:2/4d7",
5,2,"","1","P1:2/2d5|P2:3/4d7",
6,0,"1","1,2","P1:2/2d5|P1:0/2d10|P2:4/4d7",
7,1,"","1,2","P1:1/2d10|P1:2/2d5|P2:4/4d7",
8,0,"2","1,2,1","P1:2/2d10|P1:2/2d5|P2:4/4d7|P2:0/4d14",
9,2,"","1,2,1","P1:2/2d10|P1:2/2d5|P2:1/4d14|P2:4/4d7",
10,2,"","1,2,1","P1:2/2d10|P1:2/2d5|P2:2/4d14|P2:4/4d7",
11,2,"1","1,2,1","P1:2/2d10|P1:2/2d5|P1:0/2d15|P2:3/4d14|P2:4/4d7",
12,0,"1","1,2,1,2","P1:2/2d10|P1:2/2d5|P1:0/2d15|P2:4/4d14|P2:4/4d7",
13,1,"","1,2,1,2","P1:1/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d14|P2:4/4d7",
14,0,"","1,2,1,2,1","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d14|P2:4/4d7",
15,2,"","1,2,1,2,1","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d21|P2:4/4d14|P2:4/4d7",
16,1,"2","1,2,1,2,1","P1:1/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d14|P2:4/4d7|P2:1/4d21",
17,0,"2","1,2,1,2,1,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d14|P2:4/4d7|P2:1/4d21",
18,2,"","1,2,1,2,1,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d21|P2:4/4d14|P2:4/4d7",
19,2,"","1,2,1,2,1,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d21|P2:4/4d14|P2:4/4d7",
20,0,"","1,2,1,2,1,1,2","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d14|P2:4/4d7",
21,1,"","1,2,1,2,1,1,2","P1:1/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d14|P2:4/4d7",
22,0,"2","1,2,1,2,1,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d14|P2:4/4d7|P2:0/4d28",
23,2,"","1,2,1,2,1,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
24,2,"","1,2,1,2,1,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
25,2,"","1,2,1,2,1,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
26,0,"1","1,2,1,2,1,1,2,1,2","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P1:0/2d30|P2:4/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
27,1,"","1,2,1,2,1,1,2,1,2","P1:1/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
28,0,"","1,2,1,2,1,1,2,1,2,1","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
29,2,"","1,2,1,2,1,1,2,1,2,1","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d35|P2:4/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
30,2,"","1,2,1,2,1,1,2,1,2,1","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d35|P2:4/4d28|P2:4/4d21|P2:4/4d14|P2:4/4d7",
