time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"","","",
1,1,"2","","P1:1/2d5|P2:0/4d7",
2,0,"2","1","P1:2/2d5|P2:0/4d7",
3,2,"","1","P1:2/2d5|P2:1/4d7",
4,2,"","1","P1:2/2d5|P2:2/4d7",
5,2,"","1","P1:2/2d5|P2:3/4d7",
6,1,"2","1","P1:1/2d10|P1:2/2d5|P2:3/4d7",
7,0,"2","1,1","P1:2/2d10|P1:2/2d5|P2:3/4d7",
8,2,"2","1,1","P1:2/2d10|P1:2/2d5|P2:1/4d14|P2:3/4d7",P2:3/4d7
9,2,"2","1,1","P1:2/2d10|P1:2/2d5|P2:2/4d14|P2:3/4d7",P2:3/4d7
10,2,"2","1,1","P1:2/2d10|P1:2/2d5|P2:3/4d14|P2:3/4d7",P2:3/4d7
11,1,"2,2","1,1","P1:1/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d14|P2:3/4d7",P2:3/4d7
12,0,"2,2","1,1,1","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d14|P2:3/4d7",P2:3/4d7
13,0,"2","1,1,1,2","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d14|P2:3/4d7",P2:3/4d7
14,0,"","1,1,1,2,2","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d7|P2:4/4d14",
15,2,"","1,1,1,2,2","P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d21|P2:4/4d7|P2:4/4d14",
16,1,"2","1,1,1,2,2","P1:1/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d7|P2:4/4d14|P2:1/4d21",
17,0,"2","1,1,1,2,2,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d7|P2:4/4d14|P2:1/4d21",
18,2,"","1,1,1,2,2,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d21|P2:4/4d7|P2:4/4d14",
19,2,"","1,1,1,2,2,1","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d21|P2:4/4d7|P2:4/4d14",
20,0,"","1,1,1,2,2,1,2","P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d7|P2:4/4d14",
21,1,"","1,1,1,2,2,1,2","P1:1/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d7|P2:4/4d14",
22,0,"2","1,1,1,2,2,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d7|P2:4/4d14|P2:0/4d28",
23,2,"","1,1,1,2,2,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
24,2,"","1,1,1,2,2,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
25,2,"","1,1,1,2,2,1,2,1","P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:3/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
26,1,"2","1,1,1,2,2,1,2,1","P1:1/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d7|P2:4/4d14|P2:3/4d28",
27,0,"2","1,1,1,2,2,1,2,1,1","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d21|P2:4/4d7|P2:4/4d14|P2:3/4d28",
28,0,"","1,1,1,2,2,1,2,1,1,2","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:4/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
29,2,"","1,1,1,2,2,1,2,1,1,2","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:1/4d35|P2:4/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
30,2,"","1,1,1,2,2,1,2,1,1,2","P1:2/2d30|P1:2/2d25|P1:2/2d20|P1:2/2d15|P1:2/2d10|P1:2/2d5|P2:2/4d35|P2:4/4d28|P2:4/4d21|P2:4/4d7|P2:4/4d14",
