time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"","","",
1,0,"2","1","P1:1/1d4|P2:0/2d6",
2,2,"","1","P1:1/1d4|P2:1/2d6",
3,0,"","1,2","P1:1/1d4|P2:2/2d6",
4,0,"","1,2","P1:1/1d4|P2:2/2d6",
5,0,"","1,2,1","P1:1/1d8|P1:1/1d4|P2:2/2d6",
6,0,"","1,2,1","P1:1/1d8|P1:1/1d4|P2:2/2d6",
7,2,"","1,2,1","P1:1/1d8|P1:1/1d4|P2:1/2d12|P2:2/2d6",
8,0,"","1,2,1,2","P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6",
9,0,"","1,2,1,2,1","P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6",
10,0,"","1,2,1,2,1","P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6",
11,0,"","1,2,1,2,1","P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6",
12,0,"","1,2,1,2,1","P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6",
13,0,"2","1,2,1,2,1,1","P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d12|P2:2/2d6|P2:0/2d18",
14,2,"","1,2,1,2,1,1","P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:1/2d18|P2:2/2d12|P2:2/2d6",
15,0,"","1,2,1,2,1,1,2","P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d18|P2:2/2d12|P2:2/2d6",
16,0,"","1,2,1,2,1,1,2","P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d18|P2:2/2d12|P2:2/2d6",
17,0,"","1,2,1,2,1,1,2,1","P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d18|P2:2/2d12|P2:2/2d6",
18,0,"","1,2,1,2,1,1,2,1","P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d18|P2:2/2d12|P2:2/2d6",
19,2,"","1,2,1,2,1,1,2,1","P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:1/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
20,0,"","1,2,1,2,1,1,2,1,2","P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
21,0,"","1,2,1,2,1,1,2,1,2,1","P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
22,0,"","1,2,1,2,1,1,2,1,2,1","P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
23,0,"","1,2,1,2,1,1,2,1,2,1","P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
24,0,"","1,2,1,2,1,1,2,1,2,1","P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
25,0,"2","1,2,1,2,1,1,2,1,2,1,1","P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6|P2:0/2d30",
26,2,"","1,2,1,2,1,1,2,1,2,1,1","P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:1/2d30|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
27,0,"","1,2,1,2,1,1,2,1,2,1,1,2","P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d30|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
28,0,"","1,2,1,2,1,1,2,1,2,1,1,2","P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d30|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
29,0,"","1,2,1,2,1,1,2,1,2,1,1,2,1","P1:1/1d32|P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d30|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
30,0,"","1,2,1,2,1,1,2,1,2,1,1,2,1","P1:1/1d32|P1:1/1d28|P1:1/1d24|P1:1/1d20|P1:1/1d16|P1:1/1d12|P1:1/1d8|P1:1/1d4|P2:2/2d30|P2:2/2d24|P2:2/2d18|P2:2/2d12|P2:2/2d6",
