time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"1,2","","P1:0/3d4|P2:0/3d5",
1,2,"1","","P1:0/3d4|P2:1/3d5",
2,2,"1","","P1:0/3d4|P2:2/3d5",
3,1,"","2","P1:0/3d4|P2:3/3d5",
4,1,"","2","P1:1/3d4|P2:3/3d5",
5,1,"","2","P1:2/3d4|P2:3/3d5",P1:2/3d4
6,0,"","2,1","P1:3/3d4|P2:3/3d5",
7,0,"","2,1","P1:3/3d4|P2:3/3d5",
8,0,"","2,1","P1:3/3d4|P2:3/3d5",
9,0,"","2,1","P1:3/3d4|P2:3/3d5",
10,0,"","2,1","P1:3/3d4|P2:3/3d5",
11,0,"","2,1","P1:3/3d4|P2:3/3d5",
12,0,"","2,1","P1:3/3d4|P2:3/3d5",
13,0,"","2,1","P1:3/3d4|P2:3/3d5",
14,0,"","2,1","P1:3/3d4|P2:3/3d5",
15,0,"","2,1","P1:3/3d4|P2:3/3d5",
16,0,"","2,1","P1:3/3d4|P2:3/3d5",
17,0,"","2,1","P1:3/3d4|P2:3/3d5",
18,0,"","2,1","P1:3/3d4|P2:3/3d5",
19,0,"","2,1","P1:3/3d4|P2:3/3d5",
20,0,"","2,1","P1:3/3d4|P2:3/3d5",
21,0,"","2,1","P1:3/3d4|P2:3/3d5",
22,0,"","2,1","P1:3/3d4|P2:3/3d5",
23,0,"","2,1","P1:3/3d4|P2:3/3d5",
24,0,"","2,1","P1:3/3d4|P2:3/3d5",
25,0,"","2,1","P1:3/3d4|P2:3/3d5",
26,0,"","2,1","P1:3/3d4|P2:3/3d5",
27,0,"","2,1","P1:3/3d4|P2:3/3d5",
28,0,"","2,1","P1:3/3d4|P2:3/3d5",
29,0,"","2,1","P1:3/3d4|P2:3/3d5",
30,0,"","2,1","P1:3/3d4|P2:3/3d5",
