time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"1,2","","P1:0/2d5|P2:0/4d7",
1,1,"2","","P1:1/2d5|P2:0/4d7",
2,2,"","1","P1:2/2d5|P2:0/4d7",
3,2,"","1","P1:2/2d5|P2:1/4d7",
4,2,"","1","P1:2/2d5|P2:2/4d7",
5,2,"","1","P1:2/2d5|P2:3/4d7",
6,0,"","1,2","P1:2/2d5|P2:4/4d7",
7,0,"","1,2","P1:2/2d5|P2:4/4d7",
8,0,"","1,2","P1:2/2d5|P2:4/4d7",
9,0,"","1,2","P1:2/2d5|P2:4/4d7",
10,0,"","1,2","P1:2/2d5|P2:4/4d7",
11,0,"","1,2","P1:2/2d5|P2:4/4d7",
12,0,"","1,2","P1:2/2d5|P2:4/4d7",
13,0,"","1,2","P1:2/2d5|P2:4/4d7",
14,0,"","1,2","P1:2/2d5|P2:4/4d7",
15,0,"","1,2","P1:2/2d5|P2:4/4d7",
16,0,"","1,2","P1:2/2d5|P2:4/4d7",
17,0,"","1,2","P1:2/2d5|P2:4/4d7",
18,0,"","1,2","P1:2/2d5|P2:4/4d7",
19,0,"","1,2","P1:2/2d5|P2:4/4d7",
20,0,"","1,2","P1:2/2d5|P2:4/4d7",
21,0,"","1,2","P1:2/2d5|P2:4/4d7",
22,0,"","1,2","P1:2/2d5|P2:4/4d7",
23,0,"","1,2","P1:2/2d5|P2:4/4d7",
24,0,"","1,2","P1:2/2d5|P2:4/4d7",
25,0,"","1,2","P1:2/2d5|P2:4/4d7",
26,0,"","1,2","P1:2/2d5|P2:4/4d7",
27,0,"","1,2","P1:2/2d5|P2:4/4d7",
28,0,"","1,2","P1:2/2d5|P2:4/4d7",
29,0,"","1,2","P1:2/2d5|P2:4/4d7",
30,0,"","1,2","P1:2/2d5|P2:4/4d7",
