time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"1,2","","P1:0/1d4|P2:0/2d6",
1,2,"","1","P1:1/1d4|P2:0/2d6",
2,2,"","1","P1:1/1d4|P2:1/2d6",
3,0,"","1,2","P1:1/1d4|P2:2/2d6",
4,0,"","1,2","P1:1/1d4|P2:2/2d6",
5,0,"","1,2","P1:1/1d4|P2:2/2d6",
6,0,"","1,2","P1:1/1d4|P2:2/2d6",
7,0,"","1,2","P1:1/1d4|P2:2/2d6",
8,0,"","1,2","P1:1/1d4|P2:2/2d6",
9,0,"","1,2","P1:1/1d4|P2:2/2d6",
10,0,"","1,2","P1:1/1d4|P2:2/2d6",
11,0,"","1,2","P1:1/1d4|P2:2/2d6",
12,0,"","1,2","P1:1/1d4|P2:2/2d6",
13,0,"","1,2","P1:1/1d4|P2:2/2d6",
14,0,"","1,2","P1:1/1d4|P2:2/2d6",
15,0,"","1,2","P1:1/1d4|P2:2/2d6",
16,0,"","1,2","P1:1/1d4|P2:2/2d6",
17,0,"","1,2","P1:1/1d4|P2:2/2d6",
18,0,"","1,2","P1:1/1d4|P2:2/2d6",
19,0,"","1,2","P1:1/1d4|P2:2/2d6",
20,0,"","1,2","P1:1/1d4|P2:2/2d6",
21,0,"","1,2","P1:1/1d4|P2:2/2d6",
22,0,"","1,2","P1:1/1d4|P2:2/2d6",
23,0,"","1,2","P1:1/1d4|P2:2/2d6",
24,0,"","1,2","P1:1/1d4|P2:2/2d6",
25,0,"","1,2","P1:1/1d4|P2:2/2d6",
26,0,"","1,2","P1:1/1d4|P2:2/2d6",
27,0,"","1,2","P1:1/1d4|P2:2/2d6",
28,0,"","1,2","P1:1/1d4|P2:2/2d6",
29,0,"","1,2","P1:1/1d4|P2:2/2d6",
30,0,"","1,2","P1:1/1d4|P2:2/2d6",
