time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"1","","P1:0/3d4",
1,1,"","","P1:1/3d4",
2,1,"","","P1:2/3d4",
3,0,"","1","P1:3/3d4",
4,0,"","1","P1:3/3d4",
5,0,"","1","P1:3/3d4",
6,0,"","1","P1:3/3d4",
7,0,"","1","P1:3/3d4",
8,0,"","1","P1:3/3d4",
9,0,"","1","P1:3/3d4",
10,0,"","1","P1:3/3d4",
11,0,"","1","P1:3/3d4",
12,0,"","1","P1:3/3d4",
13,0,"","1","P1:3/3d4",
14,0,"","1","P1:3/3d4",
15,0,"","1","P1:3/3d4",
16,0,"","1","P1:3/3d4",
17,0,"","1","P1:3/3d4",
18,0,"","1","P1:3/3d4",
19,0,"","1","P1:3/3d4",
20,0,"","1","P1:3/3d4",
21,0,"","1","P1:3/3d4",
22,0,"","1","P1:3/3d4",
23,0,"","1","P1:3/3d4",
24,0,"","1","P1:3/3d4",
25,0,"","1","P1:3/3d4",
26,0,"","1","P1:3/3d4",
27,0,"","1","P1:3/3d4",
28,0,"","1","P1:3/3d4",
29,0,"","1","P1:3/3d4",
30,0,"","1","P1:3/3d4",
