time,running,ready_queue,completed,process_ticks with deadline,missed_deadlines
0,0,"","","",
1,1,"","","P1:1/3d4",
2,1,"","","P1:2/3d4",
3,0,"","1","P1:3/3d4",
4,0,"","1","P1:3/3d4",
5,0,"","1","P1:3/3d4",
6,0,"","1","P1:3/3d4",
7,1,"","1","P1:1/3d10|P1:3/3d4",
8,1,"","1","P1:2/3d10|P1:3/3d4",
9,0,"","1,1","P1:3/3d10|P1:3/3d4",
10,0,"","1,1","P1:3/3d10|P1:3/3d4",
11,0,"","1,1","P1:3/3d10|P1:3/3d4",
12,0,"","1,1","P1:3/3d10|P1:3/3d4",
13,1,"","1,1","P1:1/3d16|P1:3/3d10|P1:3/3d4",
14,1,"","1,1","P1:2/3d16|P1:3/3d10|P1:3/3d4",
15,0,"","1,1,1","P1:3/3d16|P1:3/3d10|P1:3/3d4",
16,0,"","1,1,1","P1:3/3d16|P1:3/3d10|P1:3/3d4",
17,0,"","1,1,1","P1:3/3d16|P1:3/3d10|P1:3/3d4",
18,0,"","1,1,1","P1:3/3d16|P1:3/3d10|P1:3/3d4",
19,1,"","1,1,1","P1:1/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
20,1,"","1,1,1","P1:2/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
21,0,"","1,1,1,1","P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
22,0,"","1,1,1,1","P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
23,0,"","1,1,1,1","P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
24,0,"","1,1,1,1","P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
25,1,"","1,1,1,1","P1:1/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
26,1,"","1,1,1,1","P1:2/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
27,0,"","1,1,1,1,1","P1:3/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
28,0,"","1,1,1,1,1","P1:3/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
29,0,"","1,1,1,1,1","P1:3/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
30,0,"","1,1,1,1,1","P1:3/3d28|P1:3/3d22|P1:3/3d16|P1:3/3d10|P1:3/3d4",
