time,running,ready_queue,completed,process_ticks
0,0,"","",""
1,2,"","","P2:0/4"
2,2,"3","","P2:1/4|P3:0/2"
3,2,"3,4","","P2:2/4|P3:0/2|P4:0/6"
4,3,"4,2","","P2:3/4|P3:0/2|P4:0/6"
5,3,"4,2,5","","P2:3/4|P3:1/2|P4:0/6|P5:0/3"
6,4,"2,5","3","P2:3/4|P3:2/2|P4:0/6|P5:0/3"
7,4,"2,5","3","P2:3/4|P3:2/2|P4:1/6|P5:0/3"
8,4,"2,5","3","P2:3/4|P3:2/2|P4:2/6|P5:0/3"
9,2,"5,4","3","P2:3/4|P3:2/2|P4:3/6|P5:0/3"
10,5,"4","3,2","P2:4/4|P3:2/2|P4:3/6|P5:0/3"
11,5,"4","3,2","P2:4/4|P3:2/2|P4:3/6|P5:1/3"
12,5,"4","3,2","P2:4/4|P3:2/2|P4:3/6|P5:2/3"
13,4,"","3,2,5","P2:4/4|P3:2/2|P4:3/6|P5:3/3"
14,4,"","3,2,5","P2:4/4|P3:2/2|P4:4/6|P5:3/3"
15,4,"","3,2,5","P2:4/4|P3:2/2|P4:5/6|P5:3/3"
16,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
17,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
18,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
19,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
20,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
21,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
22,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
23,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
24,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
25,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
26,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
27,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
28,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
29,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
30,0,"","3,2,5,4","P2:4/4|P3:2/2|P4:6/6|P5:3/3"
