time,running,ready_queue,completed,process_ticks
0,0,"1","","P1:0/8"
1,2,"1","","P1:0/8|P2:0/4"
2,2,"1,3","","P1:0/8|P2:1/4|P3:0/2"
3,2,"1,3,4","","P1:0/8|P2:2/4|P3:0/2|P4:0/6"
4,2,"1,3,4","","P1:0/8|P2:3/4|P3:0/2|P4:0/6"
5,3,"1,4,5","2","P1:0/8|P2:4/4|P3:0/2|P4:0/6|P5:0/3"
6,3,"1,4,5","2","P1:0/8|P2:4/4|P3:1/2|P4:0/6|P5:0/3"
7,5,"1,4","2,3","P1:0/8|P2:4/4|P3:2/2|P4:0/6|P5:0/3"
8,5,"1,4","2,3","P1:0/8|P2:4/4|P3:2/2|P4:0/6|P5:1/3"
9,5,"1,4","2,3","P1:0/8|P2:4/4|P3:2/2|P4:0/6|P5:2/3"
10,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:0/6|P5:3/3"
11,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:1/6|P5:3/3"
12,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:2/6|P5:3/3"
13,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:3/6|P5:3/3"
14,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:4/6|P5:3/3"
15,4,"1","2,3,5","P1:0/8|P2:4/4|P3:2/2|P4:5/6|P5:3/3"
16,1,"","2,3,5,4","P1:0/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
17,1,"","2,3,5,4","P1:1/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
18,1,"","2,3,5,4","P1:2/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
19,1,"","2,3,5,4","P1:3/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
20,1,"","2,3,5,4","P1:4/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
21,1,"","2,3,5,4","P1:5/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
22,1,"","2,3,5,4","P1:6/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
23,1,"","2,3,5,4","P1:7/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
24,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
25,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
26,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
27,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
28,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
29,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
30,0,"","2,3,5,4,1","P1:8/8|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
