time,running,ready_queue,completed,process_ticks
1,0,"","1","P1:1/1"
2,2,"","1","P1:1/1|P2:1/4"
3,3,"2","1","P1:1/1|P2:1/4|P3:1/2"
4,2,"4","1,3","P1:1/1|P2:1/4|P3:2/2|P4:0/6"
5,2,"4","1,3","P1:1/1|P2:2/4|P3:2/2|P4:0/6"
6,2,"4,5","1,3","P1:1/1|P2:3/4|P3:2/2|P4:0/6|P5:0/3"
7,5,"4","1,3,2","P1:1/1|P2:4/4|P3:2/2|P4:0/6|P5:0/3"
8,5,"4","1,3,2","P1:1/1|P2:4/4|P3:2/2|P4:0/6|P5:1/3"
9,5,"4","1,3,2","P1:1/1|P2:4/4|P3:2/2|P4:0/6|P5:2/3"
10,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:0/6|P5:3/3"
11,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:1/6|P5:3/3"
12,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:2/6|P5:3/3"
13,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:3/6|P5:3/3"
14,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:4/6|P5:3/3"
15,4,"","1,3,2,5","P1:1/1|P2:4/4|P3:2/2|P4:5/6|P5:3/3"
16,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
17,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
18,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
19,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
20,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
21,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
22,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
23,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
24,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
25,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
26,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
27,0,"","1,3,2,5,4","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3"
28,0,"","1,3,2,5,4,6","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3|P6:1/1"
29,0,"","1,3,2,5,4,6","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3|P6:1/1"
30,0,"","1,3,2,5,4,6","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3|P6:1/1"
31,0,"","1,3,2,5,4,6","P1:1/1|P2:4/4|P3:2/2|P4:6/6|P5:3/3|P6:1/1"
